"ID","Name","Mechanical","Electromagnetic","Thermal","Comments","id2","x","y","z","force_e2","force_t","force_r","electro_e2","electro_t","electro_r","thermo_e2","thermo_t","thermo_r"
"R01","Wheel front axle  failure","0.6333333333333333","0.2","0.8","Sudden tire blowouts can lead to loss of steering control, potentially straining the hub, steering knuckle, and tie rod.","1","0","1300","0","0.5","1","0.4","0","1","0.1","0.4","1","0.2"
"R02","Hub front axle  failure","0.8","0.2","0.8","Bearing failure can result in increased friction and heat generation, potentially affecting the hub and other connected components.","2","0","1100","0","0","1","0.4","0","1","0.1","0","1","0.2"
"R03","Steering knuckle front axle failure","0.2","0.2","0.2","Cracking of the steering knuckle can weaken the axle assembly, potentially leading to a loss of steering control and damaging the hub and tie rod.","3","-100","1100","-100","0","1","0.4","0","1","0.1","0","1","0.2"
"R04","Knuckle arm front axle  failure","0.2","0.2","0.2","Bending of the knuckle arm can disrupt the steering geometry, affecting steering system performance and potentially causing excessive wear on the steering knuckle and tie rod.","4","-300","1000","-150","0","1","0.4","0","1","0.1","0","1","0.2"
"R05","Frame front axle  failure","0.7","0.2","0.2","Cracks in the frame can weaken the structural integrity of the entire front axle assembly, affecting all connected components and overall vehicle stability.","5","-100","800","-100","0","1","0.4","0","1","0.1","0","1","0.2"
"R06","Tie rod front axle failure","0.2","0.2","0.2","Bending or breaking of the tie rod can lead to a loss of steering control, affecting wheel alignment and potentially damaging the steering knuckle and other components.","6","-300","800","0","0","1","0.6","0","1","0.1","0","1","0.2"
"R07","Angle sensor front axle failure","0.2","0.6333333333333333","0.5333333333333333","A malfunctioning angle sensor can lead to inaccurate steering data, potentially causing the ECU to make incorrect steering adjustments, impacting steering performance. Electromagnetic interference may affect sensor accuracy.","7","-100","0","0","0","1","0.6","0.1","1","0.7999999999999999","0","1","0.6"
"R08","Speedometer failure","0.2","0.6333333333333333","0.5333333333333333","Speedometer malfunction doesn't directly impact steering but can affect the driver's ability to monitor vehicle speed, potentially leading to unsafe driving conditions. Electromagnetic interference may affect electronic components in the speedometer.","8","-100","300","1500","0","1","0.6","0.1","1","0.7999999999999999","0","1","0.6"
"R09","ECU failure","0.2","0.7000000000000001","0.6333333333333333","ECU malfunction can lead to incorrect steering commands, impacting steering performance and potentially straining other hydraulic system components. Electromagnetic fields may interfere with ECU operation.","9","0","300","1500","0","1","0.6","0.3","1","0.7999999999999999","0.3","1","0.6"
"R10","Engine  failure","0.8666666666666667","0.5666666666666668","0.7000000000000001","Engine malfunctions can affect the hydraulic pump's performance, reducing hydraulic pressure and steering assistance. Electromagnetic fields may interfere with engine control systems.","10","400","0","300","1","1","0.6","0.3","1","0.4","0.9","1","0.2"
"R11","Hydraulic oil reservoir failure","0.7000000000000001","0.2","0.4666666666666666","Oil leaks can reduce the efficiency of the hydraulic system, potentially leading to reduced steering control and increased load on the hydraulic pump and other components. Electromagnetic interference may affect seals and connections","11","500","900","100","0.3","1","0.8","0","1","0.1","0","1","0.4"
"R12","Steering actuation cylinder front axle  failure","0.6333333333333333","0.2","0.4666666666666666","Fluid leaks can result in reduced hydraulic pressure, causing a loss of steering power and control. Electromagnetic interference may interfere with sensors or actuators in the hydraulic system.","12","500","400","100","0.3","1","0.6","0","1","0.1","0.2","1","0.2"
"R13","Servo valve front axle  failure","0.7000000000000001","0.5666666666666668","0.6","Valve issues can result in erratic or delayed steering responses, affecting overall steering system performance and potentially straining the steering pump and hydraulic oil reservoir. Electromagnetic fields may interfere with valve operation.","13","300","400","100","0.5","1","0.6","0.3","1","0.4","0.4","1","0.4"
"R14","Pump front axle  failure","0.6333333333333333","0.5","0.6","Pump malfunction can result in reduced hydraulic pressure, affecting steering performance and potentially straining other hydraulic components. Electromagnetic fields may interfere with pump operation.","14","300","700","100","0.3","1","0.6","0.3","1","0.2","0.4","1","0.4"
"R15","Filter front axle  failure","0.4666666666666666","0.2","0.2","A clogged filter can reduce hydraulic flow, potentially leading to reduced steering power and increased load on the hydraulic pump and other components. Electromagnetic fields may affect filter performance.","15","300","900","100","0","1","0.4","0","1","0.1","0","1","0.2"
"R16","Cooler front axle  failure","0.4666666666666666","0.2","0.5333333333333333","A malfunctioning cooler can result in overheating of the hydraulic fluid, potentially reducing system efficiency and impacting other hydraulic components' performance. Electromagnetic fields may affect heat exchanger performance.","16","700","700","100","0","1","0.4","0","1","0.1","0.2","1","0.4"
"R17","Steering actuation cylinder second axle  failure","0.6333333333333333","0.2","0.4666666666666666","Fluid leaks can result in reduced hydraulic pressure, causing a loss of steering power and control. Electromagnetic interference may interfere with sensors or actuators in the hydraulic system.","17","-4600","400","100","0.3","1","0.6","0","1","0.1","0.2","1","0.2"
"R18","Servo valve second axle  failure","0.7000000000000001","0.5666666666666668","0.6","Valve issues can result in erratic or delayed steering responses, affecting overall steering system performance and potentially straining the steering pump and hydraulic oil reservoir. Electromagnetic fields may interfere with valve operation.","18","-4800","400","100","0.5","1","0.6","0.3","1","0.4","0.4","1","0.4"
"R19","Pump second axle  failure","0.6333333333333333","0.5","0.6","Pump malfunction can result in reduced hydraulic pressure, affecting steering performance and potentially straining other hydraulic components. Electromagnetic fields may interfere with pump operation.","19","-4800","700","100","0.3","1","0.6","0.3","1","0.2","0.4","1","0.4"
"R20","Filter second axle  failure","0.2","0.2","0.2","A clogged filter can reduce hydraulic flow, potentially leading to reduced steering power and increased load on the hydraulic pump and other components. Electromagnetic fields may affect filter performance.","20","-4800","900","100","0","1","0.4","0","1","0.1","0","1","0.2"
"R21","Cooler second axle  failure","0.2","0.2","0.5333333333333333","A malfunctioning cooler can result in overheating of the hydraulic fluid, potentially reducing system efficiency and impacting other hydraulic components' performance. Electromagnetic fields may affect heat exchanger performance.","21","-4400","700","100","0","1","0.4","0","1","0.1","0.2","1","0.4"
"R22","Wheel second axle  failure","0.6333333333333333","0.2","0.8","Sudden tire blowouts can lead to loss of steering control, potentially straining the hub, steering knuckle, and tie rod.","22","-5100","1300","0","0.5","1","0.4","0","1","0.1","0.4","1","0.2"
"R23","Hub second axle  failure","0.8","0.2","0.8","Bearing failure can result in increased friction and heat generation, potentially affecting the hub and other connected components.","23","-5100","1100","0","0","1","0.4","0","1","0.1","0","1","0.2"
"R24","Steering knuckle second axle failure","0.2","0.2","0.2","Cracking of the steering knuckle can weaken the axle assembly, potentially leading to a loss of steering control and damaging the hub and tie rod.","24","-5200","1100","-100","0","1","0.4","0","1","0.1","0","1","0.2"
"R25","Knuckle arm second axle  failure","0.2","0.2","0.2","Bending of the knuckle arm can disrupt the steering geometry, affecting steering system performance and potentially causing excessive wear on the steering knuckle and tie rod.","25","-5400","1000","-150","0","1","0.4","0","1","0.1","0","1","0.2"
"R26","Frame second axle  failure","0.7","0.2","0.2","Cracks in the frame can weaken the structural integrity of the entire front axle assembly, affecting all connected components and overall vehicle stability.","26","-5200","800","-100","0","1","0.4","0","1","0.1","0","1","0.2"
"R27","Tie rod second axle failure","0.2","0.2","0.2","Bending or breaking of the tie rod can lead to a loss of steering control, affecting wheel alignment and potentially damaging the steering knuckle and other components.","27","-5400","800","0","0","1","0.6","0","1","0.1","0","1","0.2"
"R28","Angle sensor second axle failure","0.5333333333333333","0.6333333333333333","0.5333333333333333","A malfunctioning angle sensor can lead to inaccurate steering data, potentially causing the ECU to make incorrect steering adjustments, impacting steering performance. Electromagnetic interference may affect sensor accuracy.","28","-5200","0","0","0","1","0.6","0.1","1","0.7999999999999999","0","1","0.6"
"R29","Electric steering motor front axle  failure","0.7666666666666666","0.7666666666666666","0.7000000000000001","Motor malfunction can lead to a loss of power steering assistance, affecting overall steering system performance. Electromagnetic fields may interfere with motor operation.","29","500","700","100","0.7","1","0.6","0.7","1","0.6","0.7","1","0.4"
"R30","Electric steering motor second axle  failure","0.7666666666666666","0.7666666666666666","0.7000000000000001","Motor malfunction can lead to a loss of power steering assistance, affecting overall steering system performance. Electromagnetic fields may interfere with motor operation.","30","-4600","700","100","0.7","1","0.6","0.7","1","0.6","0.7","1","0.4"
"R31","Battery Box failure","0.5333333333333333","0.7000000000000001","0.8333333333333334","Overheating or malfunction of the battery pack can result in a loss of power supply for the electric steering system, leading to a loss of steering assistance. Electromagnetic fields may affect battery management systems and thermal regulation.","31","-1000","0","300","0","1","0.6","0.5","1","0.6","0.7","1","0.7999999999999999"
